datetime,temperature_f,humidity_pct,dew_point_f,precipitation_in,pressure_msl_hpa,wind_speed_mph,wind_gust_mph,weather_code,date,hour
2022-01-01 00:00:00,73.8,87,69.9,0.0,1007.6,12.3,22.1,3,2022-01-01,0
2022-01-01 01:00:00,73.5,90,70.3,0.0,1006.9,12.7,22.6,3,2022-01-01,1
2022-01-01 02:00:00,72.9,92,70.3,0.0,1006.3,13.3,23.5,3,2022-01-01,2
2022-01-01 03:00:00,72.9,91,70.2,0.0,1005.9,14.2,25.1,3,2022-01-01,3
2022-01-01 04:00:00,73.0,90,69.9,0.0,1005.4,14.1,25.7,3,2022-01-01,4
2022-01-01 05:00:00,73.1,89,69.7,0.0,1005.4,13.7,25.1,3,2022-01-01,5
2022-01-01 06:00:00,72.9,89,69.6,0.004,1005.7,13.1,24.2,51,2022-01-01,6
2022-01-01 07:00:00,73.3,89,69.7,0.004,1005.3,12.4,23.5,51,2022-01-01,7
2022-01-01 08:00:00,73.8,87,69.7,0.004,1005.5,12.2,22.1,51,2022-01-01,8
2022-01-01 09:00:00,73.9,86,69.3,0.004,1005.9,12.8,22.4,51,2022-01-01,9
2022-01-01 10:00:00,75.0,84,69.7,0.004,1006.5,12.7,24.4,51,2022-01-01,10
2022-01-01 11:00:00,75.7,81,69.3,0.012,1007.2,16.3,28.4,51,2022-01-01,11
2022-01-01 12:00:00,77.8,77,70.0,0.012,1006.5,19.3,33.8,51,2022-01-01,12
2022-01-01 13:00:00,80.0,71,69.7,0.012,1005.5,18.2,34.2,51,2022-01-01,13
2022-01-01 14:00:00,82.0,65,69.0,0.004,1004.4,14.5,33.1,51,2022-01-01,14
2022-01-01 15:00:00,82.8,60,67.7,0.0,1003.9,12.3,27.1,3,2022-01-01,15
2022-01-01 16:00:00,82.7,57,65.8,0.0,1003.7,10.5,23.3,2,2022-01-01,16
2022-01-01 17:00:00,82.0,57,65.1,0.0,1003.9,7.2,19.5,0,2022-01-01,17
2022-01-01 18:00:00,78.7,67,66.7,0.0,1004.6,3.6,12.5,3,2022-01-01,18
2022-01-01 19:00:00,73.6,83,68.0,0.0,1005.1,4.5,7.2,3,2022-01-01,19
2022-01-01 20:00:00,73.3,81,67.3,0.0,1005.7,4.0,5.1,3,2022-01-01,20
2022-01-01 21:00:00,73.2,81,66.9,0.0,1006.4,1.4,5.1,3,2022-01-01,21
2022-01-01 22:00:00,73.0,83,67.6,0.0,1007.4,1.5,2.9,3,2022-01-01,22
2022-01-01 23:00:00,70.7,89,67.5,0.0,1007.9,3.0,2.7,3,2022-01-01,23
2022-01-02 00:00:00,70.2,80,63.8,0.0,1008.8,7.4,10.1,3,2022-01-02,0
2022-01-02 01:00:00,61.4,72,52.2,0.0,1010.4,17.2,30.2,2,2022-01-02,1
2022-01-02 02:00:00,50.6,65,39.4,0.0,1012.2,17.6,32.9,2,2022-01-02,2
2022-01-02 03:00:00,45.6,59,31.9,0.0,1014.0,18.5,34.2,3,2022-01-02,3
2022-01-02 04:00:00,43.2,58,29.5,0.0,1015.4,18.2,34.7,3,2022-01-02,4
2022-01-02 05:00:00,41.9,56,27.3,0.0,1017.1,16.3,32.9,3,2022-01-02,5
2022-01-02 06:00:00,40.5,57,26.6,0.0,1018.5,15.5,30.0,3,2022-01-02,6
2022-01-02 07:00:00,37.8,74,30.4,0.012,1019.6,15.5,28.6,51,2022-01-02,7
2022-01-02 08:00:00,36.0,80,30.6,0.008,1021.2,17.1,30.0,51,2022-01-02,8
2022-01-02 09:00:00,33.1,73,25.2,0.0,1023.1,16.7,32.4,3,2022-01-02,9
2022-01-02 10:00:00,31.0,57,17.6,0.0,1025.1,18.1,33.6,3,2022-01-02,10
2022-01-02 11:00:00,32.4,49,15.3,0.0,1026.4,18.4,35.3,0,2022-01-02,11
2022-01-02 12:00:00,34.7,45,15.4,0.0,1026.9,17.4,34.9,0,2022-01-02,12
2022-01-02 13:00:00,36.7,42,15.6,0.0,1026.8,18.1,34.9,0,2022-01-02,13
2022-01-02 14:00:00,38.5,41,16.5,0.0,1026.5,18.3,36.0,0,2022-01-02,14
2022-01-02 15:00:00,39.4,41,17.4,0.0,1026.5,18.0,35.3,0,2022-01-02,15
2022-01-02 16:00:00,39.9,42,18.5,0.0,1026.6,17.7,35.1,0,2022-01-02,16
2022-01-02 17:00:00,41.9,42,20.2,0.0,1026.4,15.4,33.1,0,2022-01-02,17
2022-01-02 18:00:00,40.5,45,20.6,0.0,1027.3,13.4,31.1,0,2022-01-02,18
2022-01-02 19:00:00,38.5,49,21.2,0.0,1029.6,11.1,24.2,0,2022-01-02,19
2022-01-02 20:00:00,38.7,50,21.6,0.0,1030.1,10.0,19.7,0,2022-01-02,20
2022-01-02 21:00:00,38.4,51,21.6,0.0,1030.9,10.0,17.7,0,2022-01-02,21
2022-01-02 22:00:00,37.7,52,21.7,0.0,1031.7,10.8,19.2,0,2022-01-02,22
2022-01-02 23:00:00,37.0,53,21.3,0.0,1032.1,9.4,19.0,0,2022-01-02,23
2022-01-03 00:00:00,36.1,55,21.4,0.0,1032.3,8.6,16.3,0,2022-01-03,0
2022-01-03 01:00:00,35.5,56,21.5,0.0,1032.1,8.1,14.8,0,2022-01-03,1
2022-01-03 02:00:00,34.8,57,21.3,0.0,1031.9,7.3,13.9,0,2022-01-03,2
2022-01-03 03:00:00,34.1,58,20.8,0.0,1032.0,6.9,12.8,0,2022-01-03,3
2022-01-03 04:00:00,33.3,59,20.4,0.0,1032.0,6.5,11.6,0,2022-01-03,4
2022-01-03 05:00:00,32.6,59,20.0,0.0,1031.9,5.4,11.0,0,2022-01-03,5
2022-01-03 06:00:00,31.8,61,19.9,0.0,1032.1,4.5,8.9,0,2022-01-03,6
2022-01-03 07:00:00,31.5,63,20.3,0.0,1033.1,4.5,7.4,0,2022-01-03,7
2022-01-03 08:00:00,29.8,67,20.4,0.0,1033.6,4.1,7.2,0,2022-01-03,8
2022-01-03 09:00:00,31.6,65,21.1,0.0,1034.2,6.3,9.8,0,2022-01-03,9
2022-01-03 10:00:00,36.2,56,22.0,0.0,1034.8,4.9,11.2,0,2022-01-03,10
2022-01-03 11:00:00,40.0,48,21.9,0.0,1035.4,4.5,12.1,0,2022-01-03,11
2022-01-03 12:00:00,43.1,42,21.7,0.0,1034.6,3.4,11.9,0,2022-01-03,12
2022-01-03 13:00:00,45.8,39,21.9,0.0,1033.2,2.8,11.0,0,2022-01-03,13
2022-01-03 14:00:00,47.9,37,22.8,0.0,1031.4,2.7,10.5,0,2022-01-03,14
2022-01-03 15:00:00,49.5,35,23.2,0.0,1030.4,2.4,10.3,0,2022-01-03,15
2022-01-03 16:00:00,50.2,35,23.8,0.0,1029.8,1.7,9.4,0,2022-01-03,16
2022-01-03 17:00:00,50.1,35,23.5,0.0,1029.6,1.7,8.1,0,2022-01-03,17
2022-01-03 18:00:00,48.4,52,31.7,0.0,1029.5,2.0,6.5,0,2022-01-03,18
2022-01-03 19:00:00,48.7,39,25.0,0.0,1029.4,2.3,3.4,0,2022-01-03,19
2022-01-03 20:00:00,47.1,42,25.4,0.0,1029.1,2.4,2.9,0,2022-01-03,20
2022-01-03 21:00:00,41.7,60,28.9,0.0,1029.2,4.8,5.1,0,2022-01-03,21
2022-01-03 22:00:00,39.1,74,31.5,0.0,1029.4,5.8,6.5,0,2022-01-03,22
2022-01-03 23:00:00,38.8,77,32.1,0.0,1028.8,5.7,6.5,0,2022-01-03,23
2022-01-04 00:00:00,38.8,74,31.4,0.0,1028.4,5.1,6.3,1,2022-01-04,0
2022-01-04 01:00:00,38.7,73,30.6,0.0,1027.9,4.5,5.8,2,2022-01-04,1
2022-01-04 02:00:00,38.3,72,29.9,0.0,1027.1,3.9,5.1,2,2022-01-04,2
2022-01-04 03:00:00,35.4,78,29.3,0.0,1026.6,4.4,5.1,3,2022-01-04,3
2022-01-04 04:00:00,35.3,79,29.4,0.0,1026.4,4.1,5.1,3,2022-01-04,4
2022-01-04 05:00:00,37.4,70,28.6,0.0,1026.1,2.1,4.7,3,2022-01-04,5
2022-01-04 06:00:00,38.7,72,30.3,0.0,1025.3,3.7,4.9,3,2022-01-04,6
2022-01-04 07:00:00,39.0,70,30.1,0.0,1025.7,2.2,4.0,0,2022-01-04,7
2022-01-04 08:00:00,36.3,81,31.2,0.0,1025.2,4.4,6.5,0,2022-01-04,8
2022-01-04 09:00:00,39.2,79,33.2,0.0,1025.6,2.6,6.9,0,2022-01-04,9
2022-01-04 10:00:00,45.6,67,35.2,0.0,1025.8,2.9,7.4,0,2022-01-04,10
2022-01-04 11:00:00,51.2,52,34.3,0.0,1025.5,4.2,10.5,0,2022-01-04,11
2022-01-04 12:00:00,55.4,53,38.5,0.0,1024.7,6.1,13.9,0,2022-01-04,12
2022-01-04 13:00:00,58.2,57,42.9,0.0,1023.0,7.8,17.2,0,2022-01-04,13
2022-01-04 14:00:00,60.2,56,44.5,0.0,1021.1,8.1,17.9,0,2022-01-04,14
